A new study created in RDB with name: dec_2021_test_2_8
Start optimization.
Trial 0 finished with value: 0.95010875 and parameters: {'l2_regularization': 0.005615559141266863, 'early_stopping': 'False', 'learning_rate': 0.0038566857832962424, 'max_iter': 1000, 'max_depth': 17, 'max_bins': 112, 'min_samples_leaf': 22051, 'max_leaf_nodes': 64}. Best is trial 0 with value: 0.95010875.
Trial 89 finished with value: 0.949815 and parameters: {'l2_regularization': 6.942217398274597, 'early_stopping': 'False', 'learning_rate': 0.040266403890035524, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 221, 'min_samples_leaf': 63227, 'max_leaf_nodes': 63}. Best is trial 82 with value: 0.96215.
Trial 90 finished with value: 0.96200625 and parameters: {'l2_regularization': 0.9241757969725067, 'early_stopping': 'False', 'learning_rate': 0.027173261868911787, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 229, 'min_samples_leaf': 6155, 'max_leaf_nodes': 62}. Best is trial 82 with value: 0.96215.
Trial 91 finished with value: 0.96189125 and parameters: {'l2_regularization': 5.5197964514694, 'early_stopping': 'False', 'learning_rate': 0.056761340696372016, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 203, 'min_samples_leaf': 7406, 'max_leaf_nodes': 53}. Best is trial 82 with value: 0.96215.
Trial 92 finished with value: 0.96177125 and parameters: {'l2_regularization': 0.09823433794459471, 'early_stopping': 'False', 'learning_rate': 0.03565686079372339, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 237, 'min_samples_leaf': 16106, 'max_leaf_nodes': 58}. Best is trial 82 with value: 0.96215.
Trial 93 finished with value: 0.9618225 and parameters: {'l2_regularization': 1.930004476668926, 'early_stopping': 'False', 'learning_rate': 0.03147238295589135, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 209, 'min_samples_leaf': 12739, 'max_leaf_nodes': 60}. Best is trial 82 with value: 0.96215.
Trial 94 finished with value: 0.9621225 and parameters: {'l2_regularization': 0.3324652430775284, 'early_stopping': 'False', 'learning_rate': 0.04368580712407537, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 253, 'min_samples_leaf': 2137, 'max_leaf_nodes': 65}. Best is trial 82 with value: 0.96215.
Trial 95 finished with value: 0.96194625 and parameters: {'l2_regularization': 0.28938203935436085, 'early_stopping': 'False', 'learning_rate': 0.04516278090415172, 'max_iter': 1000, 'max_depth': 25, 'max_bins': 245, 'min_samples_leaf': 78, 'max_leaf_nodes': 65}. Best is trial 82 with value: 0.96215.
Trial 96 finished with value: 0.96199625 and parameters: {'l2_regularization': 0.3911023908626782, 'early_stopping': 'False', 'learning_rate': 0.04220092633945325, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 208, 'min_samples_leaf': 2471, 'max_leaf_nodes': 70}. Best is trial 82 with value: 0.96215.
Trial 97 finished with value: 0.96214375 and parameters: {'l2_regularization': 0.11979558230458438, 'early_stopping': 'False', 'learning_rate': 0.026828258968788547, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 251, 'min_samples_leaf': 4800, 'max_leaf_nodes': 66}. Best is trial 82 with value: 0.96215.
Trial 98 finished with value: 0.95868375 and parameters: {'l2_regularization': 0.12202661230394947, 'early_stopping': 'False', 'learning_rate': 0.004211673538250558, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 252, 'min_samples_leaf': 2671, 'max_leaf_nodes': 73}. Best is trial 82 with value: 0.96215.
Trial 99 finished with value: 0.94463875 and parameters: {'l2_regularization': 0.047388251501648854, 'early_stopping': 'False', 'learning_rate': 0.03630931321632707, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 251, 'min_samples_leaf': 83772, 'max_leaf_nodes': 66}. Best is trial 82 with value: 0.96215.
Trial 100 finished with value: 0.9613075 and parameters: {'l2_regularization': 0.004591806122940543, 'early_stopping': 'False', 'learning_rate': 0.019676410549499278, 'max_iter': 1000, 'max_depth': 18, 'max_bins': 245, 'min_samples_leaf': 9934, 'max_leaf_nodes': 62}. Best is trial 82 with value: 0.96215.
Trial 101 finished with value: 0.96216375 and parameters: {'l2_regularization': 8.31762676496183, 'early_stopping': 'False', 'learning_rate': 0.0277004401573284, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 218, 'min_samples_leaf': 5845, 'max_leaf_nodes': 67}. Best is trial 101 with value: 0.96216375.
